<Date>, <Time>, <Price>, <Volume>
8/8/2022,13:53:12.313,1.01943,199
8/8/2022,13:53:13.369,1.01945,50
8/8/2022,13:53:14.426,1.01947,50
8/8/2022,13:53:19.706,1.01945,150
8/8/2022,13:53:20.763,1.01944,150
8/8/2022,13:53:21.820,1.01942,50
8/8/2022,13:53:22.877,1.01943,200
8/8/2022,13:53:23.934,1.01939,5
8/8/2022,13:53:24.991,1.01935,50
8/8/2022,13:53:26.048,1.01938,150
8/8/2022,13:53:29.217,1.01937,200
8/8/2022,13:53:30.272,1.01936,200
8/8/2022,13:53:31.328,1.01933,150
8/8/2022,13:53:32.385,1.01950,50
8/8/2022,13:53:33.442,1.01945,150
8/8/2022,13:53:34.498,1.01943,250
8/8/2022,13:53:35.554,1.01942,50
8/8/2022,13:53:36.610,1.01940,250
8/8/2022,13:53:37.667,1.01939,150
8/8/2022,13:53:39.780,1.01938,100
8/8/2022,13:53:40.837,1.01938,150
8/8/2022,13:53:44.004,1.01936,100
8/8/2022,13:53:45.059,1.01936,200
8/8/2022,13:53:46.115,1.01937,200
8/8/2022,13:53:47.172,1.01938,200
8/8/2022,13:53:48.228,1.01938,100
8/8/2022,13:53:54.566,1.01934,150
8/8/2022,13:53:55.622,1.01934,250
8/8/2022,13:53:56.678,1.01932,150
8/8/2022,13:53:57.734,1.01932,100
8/8/2022,13:53:58.790,1.01932,200
8/8/2022,13:54:00.906,1.01932,150
8/8/2022,13:54:01.964,1.01931,200
8/8/2022,13:54:03.022,1.01931,100
8/8/2022,13:54:04.080,1.01931,200
8/8/2022,13:54:05.138,1.01931,100
8/8/2022,13:54:06.196,1.01934,150
8/8/2022,13:54:07.254,1.01934,250
8/8/2022,13:54:08.312,1.01933,200
8/8/2022,13:54:12.907,1.01933,199
8/8/2022,13:54:13.605,1.01929,200
8/8/2022,13:54:14.664,1.01928,150
8/8/2022,13:54:15.723,1.01929,150
8/8/2022,13:54:16.782,1.01930,300
8/8/2022,13:54:17.840,1.01932,200
8/8/2022,13:54:18.899,1.01927,50
8/8/2022,13:54:19.958,1.01933,150
8/8/2022,13:54:21.016,1.01931,250
8/8/2022,13:54:22.073,1.01929,200
8/8/2022,13:54:25.248,1.01934,100
8/8/2022,13:54:26.307,1.01933,300
8/8/2022,13:54:27.365,1.01931,150
8/8/2022,13:54:28.424,1.01929,100
8/8/2022,13:54:29.483,1.01931,150
8/8/2022,13:54:30.541,1.01929,200
8/8/2022,13:54:32.657,1.01927,100
8/8/2022,13:54:33.716,1.01928,150
8/8/2022,13:54:34.775,1.01926,150
8/8/2022,13:54:35.834,1.01928,200
8/8/2022,13:54:36.893,1.01929,150
8/8/2022,13:54:37.951,1.01926,150
8/8/2022,13:54:40.068,1.01927,150
8/8/2022,13:54:45.357,1.01925,200
8/8/2022,13:54:46.415,1.01926,150
8/8/2022,13:54:51.703,1.01925,200
8/8/2022,13:54:56.991,1.01933,150
8/8/2022,13:54:58.050,1.01932,250
8/8/2022,13:54:59.108,1.01935,100
8/8/2022,13:55:01.224,1.01939,150
8/8/2022,13:55:02.281,1.01933,150
8/8/2022,13:55:03.339,1.01933,300
8/8/2022,13:55:04.397,1.01934,200
8/8/2022,13:55:05.454,1.01936,200
8/8/2022,13:55:06.511,1.01937,100
8/8/2022,13:55:07.568,1.01937,200
8/8/2022,13:55:08.624,1.01942,150
8/8/2022,13:55:09.681,1.01940,100
8/8/2022,13:55:11.794,1.01941,150
8/8/2022,13:55:12.851,1.01944,250
8/8/2022,13:55:13.907,1.01944,200
8/8/2022,13:55:16.020,1.01944,150
8/8/2022,13:55:21.301,1.01944,50
8/8/2022,13:55:23.417,1.01944,150
8/8/2022,13:55:24.475,1.01944,50
8/8/2022,13:55:28.707,1.01945,200
8/8/2022,13:55:29.766,1.01948,100
8/8/2022,13:55:30.824,1.01952,100
8/8/2022,13:55:31.884,1.01953,200
8/8/2022,13:55:32.942,1.01957,200
8/8/2022,13:55:34.001,1.01955,100
8/8/2022,13:55:35.060,1.01952,200
8/8/2022,13:55:36.118,1.01955,100
8/8/2022,13:55:37.177,1.01954,200
8/8/2022,13:55:38.235,1.01955,100
8/8/2022,13:55:39.294,1.01956,200
8/8/2022,13:55:40.352,1.01956,100
8/8/2022,13:55:43.527,1.01960,200
8/8/2022,13:55:46.701,1.01961,100
8/8/2022,13:55:48.817,1.01967,100
8/8/2022,13:55:49.875,1.01967,50
8/8/2022,13:55:54.106,1.01960,50
8/8/2022,13:55:55.165,1.01967,50
8/8/2022,13:55:56.224,1.01969,50
8/8/2022,13:55:58.341,1.01975,50
8/8/2022,13:56:02.575,1.01972,50
8/8/2022,13:56:04.693,1.01969,50
8/8/2022,13:56:07.866,1.01964,250
8/8/2022,13:56:11.041,1.01965,100
8/8/2022,13:56:12.099,1.01969,300
8/8/2022,13:56:13.156,1.01971,50
8/8/2022,13:56:14.213,1.01970,50
8/8/2022,13:56:17.385,1.01972,50
8/8/2022,13:56:26.901,1.01971,50
8/8/2022,13:56:29.018,1.01970,100
8/8/2022,13:56:30.076,1.01970,50
8/8/2022,13:56:31.135,1.01968,13
8/8/2022,13:56:32.192,1.01966,13
8/8/2022,13:56:34.309,1.01968,50
8/8/2022,13:56:36.426,1.01967,100
8/8/2022,13:56:37.485,1.01968,100
8/8/2022,13:56:39.602,1.01971,100
8/8/2022,13:56:40.661,1.01974,200
8/8/2022,13:56:41.719,1.01977,50
8/8/2022,13:56:42.778,1.01975,50
8/8/2022,13:56:43.835,1.01971,100
8/8/2022,13:56:44.892,1.01971,50
8/8/2022,13:56:45.949,1.01974,50
8/8/2022,13:56:47.005,1.01975,100
8/8/2022,13:56:49.118,1.01976,150
8/8/2022,13:56:50.174,1.01977,50
8/8/2022,13:56:51.229,1.01976,50
8/8/2022,13:56:52.285,1.01975,260
8/8/2022,13:56:53.341,1.01979,260
8/8/2022,13:56:54.397,1.01980,60
8/8/2022,13:56:55.453,1.01977,100
8/8/2022,13:56:56.509,1.01974,250
8/8/2022,13:56:57.565,1.01974,200
8/8/2022,13:57:00.735,1.01974,350
8/8/2022,13:57:02.848,1.01975,200
8/8/2022,13:57:03.904,1.01975,150
8/8/2022,13:57:04.961,1.01974,349
8/8/2022,13:57:05.959,1.01974,349
8/8/2022,13:57:06.018,1.01975,150
8/8/2022,13:57:07.076,1.01974,349
8/8/2022,13:57:08.133,1.01979,100
8/8/2022,13:57:10.246,1.01978,100
8/8/2022,13:57:11.303,1.01979,200
8/8/2022,13:57:12.361,1.01980,150
8/8/2022,13:57:13.417,1.01982,100
8/8/2022,13:57:14.474,1.01982,200
8/8/2022,13:57:17.647,1.01981,100
8/8/2022,13:57:18.705,1.01980,350
8/8/2022,13:57:20.819,1.01983,400
8/8/2022,13:57:21.875,1.01984,200
8/8/2022,13:57:22.103,1.01984,199
8/8/2022,13:57:22.932,1.01984,300
8/8/2022,13:57:23.988,1.01984,200
8/8/2022,13:57:24.519,1.01984,199
8/8/2022,13:57:25.044,1.01984,200
8/8/2022,13:57:26.101,1.01984,250
8/8/2022,13:57:27.159,1.01984,300
8/8/2022,13:57:29.275,1.01984,200
8/8/2022,13:57:30.331,1.01980,100
8/8/2022,13:57:31.387,1.01979,50
8/8/2022,13:57:32.443,1.01979,100
8/8/2022,13:57:33.500,1.01979,50
8/8/2022,13:57:37.727,1.01981,50
8/8/2022,13:57:41.952,1.01986,150
8/8/2022,13:57:43.008,1.01987,150
8/8/2022,13:57:46.179,1.01994,50
8/8/2022,13:57:48.292,1.01995,50
8/8/2022,13:57:49.349,1.01994,50
8/8/2022,13:57:50.405,1.01995,50
8/8/2022,13:57:51.463,1.01994,50
8/8/2022,13:57:53.577,1.01988,50
8/8/2022,13:57:54.635,1.01982,23
8/8/2022,13:57:55.693,1.01981,23
8/8/2022,13:57:56.751,1.01981,50
8/8/2022,13:57:57.807,1.01977,50
8/8/2022,13:57:58.864,1.01983,50
8/8/2022,13:58:00.979,1.01984,50
8/8/2022,13:58:02.036,1.01984,40
8/8/2022,13:58:03.093,1.01985,40
8/8/2022,13:58:09.436,1.01986,50
8/8/2022,13:58:11.553,1.01980,50
8/8/2022,13:58:13.668,1.01979,200
8/8/2022,13:58:14.724,1.01979,250
8/8/2022,13:58:15.781,1.01986,200
8/8/2022,13:58:16.840,1.01991,150
8/8/2022,13:58:18.958,1.01989,100
8/8/2022,13:58:20.016,1.01991,150
8/8/2022,13:58:21.075,1.01993,150
8/8/2022,13:58:23.192,1.01992,250
8/8/2022,13:58:24.249,1.01991,250
8/8/2022,13:58:25.306,1.01990,300
8/8/2022,13:58:26.362,1.01995,150
8/8/2022,13:58:27.420,1.01995,200
8/8/2022,13:58:30.595,1.01995,50
8/8/2022,13:58:32.713,1.01995,200
8/8/2022,13:58:33.772,1.01995,100
8/8/2022,13:58:36.946,1.02001,200
8/8/2022,13:58:38.005,1.02000,100
8/8/2022,13:58:39.062,1.02000,200
8/8/2022,13:58:40.120,1.02001,150
8/8/2022,13:58:41.178,1.02000,200
8/8/2022,13:58:43.294,1.02001,250
8/8/2022,13:58:45.411,1.02001,150
8/8/2022,13:58:46.469,1.02000,200
8/8/2022,13:58:47.527,1.01990,200
8/8/2022,13:58:48.584,1.01990,150
8/8/2022,13:58:49.642,1.01989,300
8/8/2022,13:58:52.813,1.01989,250
8/8/2022,13:58:53.870,1.01985,200
8/8/2022,13:58:54.927,1.01986,150
8/8/2022,13:58:55.985,1.01986,100
8/8/2022,13:58:57.042,1.01988,150
8/8/2022,13:58:58.100,1.01986,150
8/8/2022,13:59:00.218,1.01984,300
8/8/2022,13:59:01.276,1.01995,250
8/8/2022,13:59:02.334,1.01991,50
8/8/2022,13:59:03.393,1.01990,350
8/8/2022,13:59:04.451,1.01990,300
8/8/2022,13:59:05.508,1.01995,350
8/8/2022,13:59:06.567,1.01994,300
8/8/2022,13:59:07.626,1.01995,50
8/8/2022,13:59:08.683,1.01994,300
8/8/2022,13:59:10.798,1.01995,250
8/8/2022,13:59:11.855,1.01995,150
8/8/2022,13:59:12.911,1.01994,150
8/8/2022,13:59:13.970,1.01999,150
8/8/2022,13:59:15.028,1.01995,300
8/8/2022,13:59:16.087,1.01995,250
8/8/2022,13:59:17.144,1.01995,100
8/8/2022,13:59:18.203,1.01995,200
8/8/2022,13:59:20.320,1.01991,150
8/8/2022,13:59:22.436,1.01990,250
8/8/2022,13:59:23.495,1.01990,150
8/8/2022,13:59:24.554,1.02001,300
8/8/2022,13:59:25.612,1.02000,100
8/8/2022,13:59:26.670,1.01996,199
8/8/2022,13:59:27.728,1.02000,149
8/8/2022,13:59:28.787,1.02000,150
8/8/2022,13:59:30.902,1.02003,200
8/8/2022,13:59:31.960,1.02003,150
8/8/2022,13:59:33.019,1.02004,100
8/8/2022,13:59:34.078,1.02004,300
8/8/2022,13:59:35.136,1.02003,300
8/8/2022,13:59:36.194,1.02002,250
8/8/2022,13:59:37.253,1.02000,150
8/8/2022,13:59:39.372,1.02005,300
8/8/2022,13:59:40.431,1.02006,100
8/8/2022,13:59:41.490,1.02005,199
8/8/2022,13:59:43.605,1.02005,299
8/8/2022,13:59:44.663,1.02005,300
8/8/2022,13:59:45.720,1.02007,100
8/8/2022,13:59:46.778,1.02005,150
8/8/2022,13:59:48.896,1.02005,200
8/8/2022,13:59:49.954,1.02005,150
8/8/2022,13:59:51.012,1.02005,200
8/8/2022,13:59:52.070,1.02010,150
8/8/2022,13:59:53.127,1.02006,150
8/8/2022,13:59:54.184,1.02004,350
8/8/2022,13:59:55.242,1.02004,450
8/8/2022,13:59:56.301,1.02005,150
8/8/2022,13:59:58.418,1.02001,200
8/8/2022,13:59:59.474,1.02001,150
8/8/2022,14:00:00.531,1.02010,200
8/8/2022,14:00:01.589,1.02008,150
8/8/2022,14:00:02.646,1.02007,300
8/8/2022,14:00:03.702,1.02017,300
8/8/2022,14:00:04.758,1.02017,100
8/8/2022,14:00:05.814,1.02014,350
8/8/2022,14:00:06.871,1.02013,150
8/8/2022,14:00:07.927,1.02012,100
8/8/2022,14:00:08.983,1.02009,300
8/8/2022,14:00:10.040,1.02004,250
8/8/2022,14:00:11.096,1.01997,200
8/8/2022,14:00:12.152,1.01995,150
8/8/2022,14:00:13.209,1.01996,100
8/8/2022,14:00:14.265,1.01996,50
8/8/2022,14:00:15.321,1.01999,150
8/8/2022,14:00:16.378,1.02001,150
8/8/2022,14:00:17.434,1.02001,100
8/8/2022,14:00:19.548,1.02000,150
8/8/2022,14:00:20.604,1.02003,350
8/8/2022,14:00:21.660,1.02003,200
8/8/2022,14:00:22.717,1.02002,200
8/8/2022,14:00:23.773,1.02003,150
8/8/2022,14:00:24.829,1.02000,250
8/8/2022,14:00:26.945,1.02001,200
8/8/2022,14:00:28.003,1.02001,100
8/8/2022,14:00:29.062,1.01993,250
8/8/2022,14:00:30.120,1.01990,200
8/8/2022,14:00:31.178,1.01992,200
8/8/2022,14:00:34.349,1.01991,200
8/8/2022,14:00:35.406,1.01989,350
8/8/2022,14:00:36.464,1.01988,200
8/8/2022,14:00:38.578,1.01991,150
8/8/2022,14:00:39.636,1.01993,250
8/8/2022,14:00:40.692,1.01993,200
8/8/2022,14:00:41.749,1.01989,150
8/8/2022,14:00:43.862,1.01987,100
8/8/2022,14:00:44.918,1.01987,150
8/8/2022,14:00:45.975,1.01980,50
8/8/2022,14:00:47.031,1.01980,100
8/8/2022,14:00:48.087,1.01982,50
8/8/2022,14:00:49.144,1.01980,250
8/8/2022,14:00:50.200,1.01983,200
8/8/2022,14:00:51.259,1.01982,100
8/8/2022,14:00:53.377,1.01984,73
8/8/2022,14:00:55.492,1.01988,73
8/8/2022,14:00:56.550,1.01988,250
8/8/2022,14:00:57.607,1.01988,300
8/8/2022,14:00:58.664,1.02001,100
8/8/2022,14:00:59.721,1.01999,100
8/8/2022,14:01:00.778,1.01996,250
8/8/2022,14:01:01.835,1.01995,450
8/8/2022,14:01:02.892,1.01989,350
8/8/2022,14:01:03.951,1.01996,100
8/8/2022,14:01:05.009,1.01993,200
8/8/2022,14:01:06.068,1.01992,100
8/8/2022,14:01:10.297,1.01987,100
8/8/2022,14:01:11.353,1.01986,101
8/8/2022,14:01:13.465,1.01993,100
8/8/2022,14:01:14.521,1.01991,100
8/8/2022,14:01:15.578,1.01997,100
8/8/2022,14:01:16.635,1.01993,100
8/8/2022,14:01:19.809,1.01990,150
8/8/2022,14:01:20.867,1.01990,50
8/8/2022,14:01:21.926,1.01988,50
8/8/2022,14:01:26.161,1.01985,50
8/8/2022,14:01:27.218,1.01980,304
8/8/2022,14:01:28.275,1.01982,50
8/8/2022,14:01:29.333,1.01988,50
8/8/2022,14:01:31.447,1.01984,50
8/8/2022,14:01:32.504,1.01978,150
8/8/2022,14:01:33.561,1.01980,50
8/8/2022,14:01:34.112,1.01980,49
8/8/2022,14:01:34.619,1.01980,50
8/8/2022,14:01:35.676,1.01978,50
8/8/2022,14:01:36.733,1.01981,50
8/8/2022,14:01:37.791,1.01976,4
8/8/2022,14:01:38.850,1.01977,50
8/8/2022,14:01:40.965,1.01975,100
8/8/2022,14:01:42.023,1.01976,50
8/8/2022,14:01:43.080,1.01989,50
8/8/2022,14:01:44.137,1.01989,52
8/8/2022,14:01:45.193,1.01989,150
8/8/2022,14:01:46.250,1.01985,5
8/8/2022,14:01:47.308,1.01980,250
8/8/2022,14:01:51.535,1.01979,200
8/8/2022,14:01:52.591,1.01977,100
8/8/2022,14:01:53.647,1.01974,151
8/8/2022,14:01:54.704,1.01976,50
8/8/2022,14:01:56.820,1.01974,100
8/8/2022,14:01:57.878,1.01974,300
8/8/2022,14:01:59.994,1.01975,50
8/8/2022,14:02:02.107,1.01976,50
8/8/2022,14:02:04.219,1.01975,102
8/8/2022,14:02:05.275,1.01974,150
8/8/2022,14:02:06.333,1.01976,50
8/8/2022,14:02:07.314,1.01976,49
8/8/2022,14:02:07.391,1.01974,250
8/8/2022,14:02:08.449,1.01974,50
8/8/2022,14:02:09.508,1.01972,50
8/8/2022,14:02:11.622,1.01973,50
8/8/2022,14:02:12.680,1.01978,50
8/8/2022,14:02:14.796,1.01977,50
8/8/2022,14:02:15.855,1.01976,200
8/8/2022,14:02:19.028,1.01976,100
8/8/2022,14:02:21.140,1.01975,152
8/8/2022,14:02:22.196,1.01976,100
8/8/2022,14:02:23.254,1.01975,252
8/8/2022,14:02:25.366,1.01978,50
8/8/2022,14:02:26.423,1.01980,300
8/8/2022,14:02:27.479,1.01982,50
8/8/2022,14:02:29.592,1.01983,250
8/8/2022,14:02:30.649,1.01984,50
8/8/2022,14:02:33.822,1.01986,250
8/8/2022,14:02:34.881,1.01997,200
8/8/2022,14:02:35.940,1.02002,50
8/8/2022,14:02:36.998,1.02001,150
8/8/2022,14:02:38.056,1.02001,50
8/8/2022,14:02:39.114,1.02002,50
8/8/2022,14:02:40.173,1.02000,252
8/8/2022,14:02:41.231,1.02000,152
8/8/2022,14:02:44.401,1.02009,50
8/8/2022,14:02:52.857,1.02005,150
8/8/2022,14:02:53.913,1.02007,250
8/8/2022,14:02:54.969,1.02012,150
8/8/2022,14:02:56.026,1.02011,50
8/8/2022,14:02:57.082,1.02012,250
8/8/2022,14:02:59.195,1.02011,300
8/8/2022,14:03:00.251,1.02015,150
8/8/2022,14:03:01.307,1.02015,200
8/8/2022,14:03:02.363,1.02014,450
8/8/2022,14:03:03.420,1.02018,150
8/8/2022,14:03:04.477,1.02018,200
8/8/2022,14:03:05.535,1.02016,150
8/8/2022,14:03:06.593,1.02016,100
8/8/2022,14:03:07.652,1.02016,185
8/8/2022,14:03:08.710,1.02018,50
8/8/2022,14:03:09.769,1.02020,250
8/8/2022,14:03:10.828,1.02020,200
8/8/2022,14:03:12.946,1.02019,200
8/8/2022,14:03:16.122,1.02020,300
8/8/2022,14:03:18.238,1.02022,49
8/8/2022,14:03:23.528,1.02018,4
8/8/2022,14:03:24.585,1.02014,100
8/8/2022,14:03:28.811,1.02018,150
8/8/2022,14:03:29.869,1.02018,200
8/8/2022,14:03:30.926,1.02018,150
8/8/2022,14:03:33.041,1.02016,1
8/8/2022,14:03:34.099,1.02012,211
8/8/2022,14:03:35.158,1.02012,161
8/8/2022,14:03:36.215,1.02012,311
8/8/2022,14:03:37.273,1.02019,100
8/8/2022,14:03:38.331,1.02019,250
8/8/2022,14:03:40.444,1.02019,150
8/8/2022,14:03:41.501,1.02016,3
8/8/2022,14:03:43.615,1.02015,250
8/8/2022,14:03:45.731,1.02015,300
8/8/2022,14:03:46.790,1.02015,50
8/8/2022,14:03:47.849,1.02014,50
8/8/2022,14:03:48.906,1.02009,250
8/8/2022,14:03:49.963,1.02010,100
8/8/2022,14:03:51.019,1.02007,202
8/8/2022,14:03:52.075,1.02009,150
8/8/2022,14:03:53.133,1.02009,100
8/8/2022,14:03:55.247,1.02008,150
8/8/2022,14:03:56.304,1.02007,252
8/8/2022,14:03:57.361,1.02007,300
8/8/2022,14:03:58.418,1.02006,3
8/8/2022,14:03:59.476,1.02008,100
8/8/2022,14:04:01.590,1.02007,200
8/8/2022,14:04:02.648,1.02008,50
8/8/2022,14:04:03.705,1.02008,150
8/8/2022,14:04:04.762,1.02009,150
8/8/2022,14:04:05.820,1.02008,150
8/8/2022,14:04:06.878,1.02007,206
8/8/2022,14:04:07.936,1.02008,100
8/8/2022,14:04:08.993,1.02007,206
8/8/2022,14:04:12.166,1.02007,56
8/8/2022,14:04:13.223,1.02014,100
8/8/2022,14:04:14.280,1.02013,300
8/8/2022,14:04:17.451,1.02010,1
8/8/2022,14:04:20.623,1.02010,50
8/8/2022,14:04:21.681,1.02009,100
8/8/2022,14:04:24.856,1.02009,150
8/8/2022,14:04:25.914,1.02009,100
8/8/2022,14:04:29.088,1.02007,150
8/8/2022,14:04:30.147,1.02004,203
8/8/2022,14:04:31.207,1.02004,153
8/8/2022,14:04:32.265,1.02004,203
8/8/2022,14:04:33.323,1.02005,100
8/8/2022,14:04:35.439,1.02006,250
8/8/2022,14:04:36.496,1.02011,200
8/8/2022,14:04:37.553,1.02008,150
8/8/2022,14:04:38.611,1.02001,150
8/8/2022,14:04:41.784,1.01998,256
8/8/2022,14:04:42.842,1.01998,250
8/8/2022,14:04:43.900,1.01998,150
8/8/2022,14:04:44.959,1.01999,100
8/8/2022,14:04:50.251,1.02003,100
8/8/2022,14:04:52.364,1.02007,200
8/8/2022,14:04:56.592,1.02004,151
8/8/2022,14:04:57.648,1.02007,250
8/8/2022,14:04:59.762,1.02006,150
8/8/2022,14:05:00.820,1.02004,150
8/8/2022,14:05:01.878,1.02007,50
8/8/2022,14:05:02.936,1.02006,100
8/8/2022,14:05:03.993,1.02004,150
8/8/2022,14:05:05.051,1.02008,250
8/8/2022,14:05:06.109,1.02008,200
8/8/2022,14:05:07.167,1.02008,100
8/8/2022,14:05:09.283,1.02013,50
8/8/2022,14:05:10.340,1.02015,50
8/8/2022,14:05:11.398,1.02008,200
8/8/2022,14:05:12.456,1.02008,150
8/8/2022,14:05:14.570,1.02009,50
8/8/2022,14:05:17.741,1.02009,150
8/8/2022,14:05:20.914,1.02010,100
8/8/2022,14:05:26.200,1.02009,150
8/8/2022,14:05:27.258,1.02007,150
8/8/2022,14:05:28.316,1.02009,250
8/8/2022,14:05:29.374,1.02007,200
8/8/2022,14:05:30.432,1.02008,100
8/8/2022,14:05:34.664,1.02007,250
8/8/2022,14:05:37.839,1.02007,50
8/8/2022,14:05:38.896,1.02007,250
8/8/2022,14:05:46.303,1.02006,150
8/8/2022,14:05:47.361,1.02006,147
8/8/2022,14:05:51.592,1.02007,150
8/8/2022,14:05:52.649,1.02004,350
8/8/2022,14:05:53.707,1.02004,250
8/8/2022,14:05:54.764,1.02002,250
8/8/2022,14:05:55.820,1.01999,100
8/8/2022,14:06:01.105,1.02002,150
8/8/2022,14:06:03.218,1.02008,200
8/8/2022,14:06:04.275,1.02007,250
8/8/2022,14:06:05.332,1.02003,350
8/8/2022,14:06:06.389,1.02004,100
8/8/2022,14:06:12.731,1.02008,200
8/8/2022,14:06:13.788,1.02010,50
8/8/2022,14:06:19.075,1.02012,150
8/8/2022,14:06:20.132,1.02012,250
8/8/2022,14:06:21.189,1.02014,200
8/8/2022,14:06:22.246,1.02013,150
8/8/2022,14:06:26.473,1.02013,100
8/8/2022,14:06:28.588,1.02010,202
8/8/2022,14:06:35.988,1.02009,250
8/8/2022,14:06:37.045,1.02010,100
8/8/2022,14:06:39.161,1.02014,150
8/8/2022,14:06:47.620,1.02015,100
8/8/2022,14:06:50.794,1.02013,100
8/8/2022,14:06:52.909,1.02012,250
8/8/2022,14:06:53.967,1.02006,150
8/8/2022,14:06:55.024,1.02004,200
8/8/2022,14:06:56.083,1.02004,150
8/8/2022,14:07:00.315,1.02003,2
8/8/2022,14:07:02.432,1.02001,150
8/8/2022,14:07:03.489,1.02000,200
8/8/2022,14:07:05.603,1.01999,154
8/8/2022,14:07:06.309,1.01999,153
8/8/2022,14:07:06.660,1.01999,154
8/8/2022,14:07:09.833,1.01996,1
8/8/2022,14:07:10.891,1.01995,150
8/8/2022,14:07:11.948,1.01993,2
8/8/2022,14:07:13.005,1.01993,152
8/8/2022,14:07:16.176,1.01992,1
8/8/2022,14:07:17.233,1.01988,250
8/8/2022,14:07:18.292,1.01987,202
8/8/2022,14:07:19.351,1.01988,200
8/8/2022,14:07:20.409,1.01988,150
8/8/2022,14:07:21.467,1.01988,200
8/8/2022,14:07:22.524,1.01989,150
8/8/2022,14:07:23.581,1.01988,200
8/8/2022,14:07:24.639,1.01988,150
8/8/2022,14:07:25.697,1.01988,200
8/8/2022,14:07:26.755,1.01989,100
8/8/2022,14:07:28.872,1.01988,200
8/8/2022,14:07:29.930,1.01988,150
8/8/2022,14:07:30.988,1.01989,100
8/8/2022,14:07:33.103,1.01994,150
